comment_text,label,is_test
balance This page has one sentence about the basic definition of the word and a huge amount about the slangprofane uses Perhaps the former should be extended is there no information about female dogs available beyond their name This is an encyclopaedia not a dictionary i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipediaIMMEDIATLY this word is used very often and is also a very mean word i belive that is majorly true very much so okay so the good meaning is a female dog BITCH It also stands for the name Brittany FellowsPreceding unsigned comment added by etymology The word bitch is from the Old Norse Bikkjuna meaning female of the dog of unknown origin Grimm derives the Old Norse words from Lapp Pittja But OED notes that the converse is equally possible The adj Bitchy was first seen in The verb meaning to complain in Slang Bitchen good is attested to the s reclaiming the word bitch The word bitch is actually only offencive in American and Canadian English In most other English variants bitch maintains its correct definition female canine People have argued that bitch is different because it is used as an insult but so is pig dog cow and others These are not considered profane so why is bitch As far as I am concerned there is nothing to reclaim as bitch simply means a female canine It may be used as a pejorative or descriptor that does not make it a profanity It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women reclaiming the word bitch in the s Can anyone point to articles on this etc The song is definitely interesting and belongs here but doesnt actually reclaim the word bitch any more than it reclaims the word sinner Also I dont really understand the last paragraph and it sucks I was going to try and clear it up but I realized I dont know what it means Can someone point to a source that lays out the argument about bitches fertility and patriarchy more clearly We dont need articles at all as I there are definitely enough examples even outside of the s Missy Elliot cleary and repeatedly reclaims the word for instance Shes a Bitch References are fine just the name Missy Elliot got me to find a quote of a rolling stone review that mentioned reclaiming the word In fact if some one knows more about her it might be interesting to add a section on her work and on how it relates to womenslurs more generally within hiphop How relevant is this reclamation It seems to me poison for a woman to use an epithet which still strongly connotes despised traits I dont see how using a word connoting querolous spiteful and malicious can be empowering But I dont know lifes a bitch It stems from a reaction to the prevalence of tagging any woman who doesnt adhere to a certain standard of femininity as a bitch To use a literary example in the novel The Handmaids Tale the narrator related the feeling that whenever she outsmarted a man she could almost hear him calling her a bitch in his mind even her own husband That literary reaction you recited is jealousy men have names for other men who outsmart them too but not having a word like bitch for them they have to resort to a greater variety of pejoritive epithets Though you havent been specific I think that standard of femininity you referred to is a pretext for subordination which both sexes often strive to impose on the other but men have traditionally had more power Because it is such a popular epithet in slang the connotations of bitch are diffuse though still commonly pernicious I think bitch in itself is not chiefly a denunciation to punish women who do not conform to that standard but rather a contemptuous word often used for it However I still dont see the point of reclamati,0,1
REDIRECT TalkMi Vida Eres T,0,1
Im not convinced that he was blind Where is this documented Its possible that he was just what wed call Legally blind ie didnt have great vision and that the name Blind Blake is an exaggerated moniker Although I have no proof Ive got a feeling that him being legally blind is more likely than totally blind Of course Ive got no evidence to back that thing up,0,1
Ref SS Ponzi Scheme Hi Padillah It is not my opinion that I am trying to impose here although it may appear to be so I am just highlighting the fact that it remains controversial whether it is or isnt a Ponzi Scheme even if a legal one so you cannot state as a fact that it is not a Ponzi Scheme I saw the reference and the perpetrator itself cannot be treated as a reliable source In fact claiming it is not a Ponzi Scheme seems to be an opinion in itself My point is that a claim should not be made either way and the edit in question just accomplishes that Thank you Virat,0,1
September th Truce According to several news sources a truce was reached in Minsk last night,0,1
Id never think Id need to say it but Wikipedia isnt a fansite discussion board If anything is unannounced by any authority it might as well be false MMORPGs are overrated,0,1
But this is not the article about government position but about the reaction Add positions to Kosovo declaration of independence or Foreign relations of Kosovo,0,1
Draculas Grandmother Draculas grandmother was a Bulgarian princess the sister of Ivan Sratzimir The links with the lands across the Danube remain largely unexamined I would appreciate any serious contributions Kaloyan,0,1
I agree with Billfruge The author describes the unverifiable nature of the two competing etymology theories sufficiently well so as not to mislead any reader renders an opinion as to which of the two is more likely and it is clear that this is the authors opinion and presents the reader with the opportunity to accept either or neither of the two,0,1
I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,0,1
Can you work your magic Hi I was wondring if you had time to help out with WikipediaFeatured article candidatesW E B Du Boisarchive Any input would be appreciated a quick scan or a full review Ive noticed your work before and I respect your skills Thanks,0,1
Puwersa ng Masa,0,1
There are now four references including Britannica giving the correct date which is getting silly You complain in your edit summary that you cant find them so Ive added quotes to two to help you out After that youre on your own WPSOURCEACCESS has more on this Im happy to concede that Britannica alone mentions the date you offer but without explaining the context so thats one of the sources Ive expanded with a quote specifically mentioning August Russian Wikipedia has August forces of the th Tank Corps Army of Paulus reached the Volga north of Stalingrad cited from the war diary of ColonelGeneral Franz Haider,0,1
REDIRECT TalkKemps thicket rat,0,1
Use of assisted suicide to refer to aid in dying is inaccurate in fourth distinctive ways First it was coined by Catholic activists disputing Oregons Measure in so it carries a political bias Second the laws in Oregon Washington and Vermont each do not contain the term assisted suicide but use aid in dying Third assisting a suicide remains illegal in all three states and also Montana and New Mexico No state attorney general or county district attorney has charged any physician or pharmacist who acted within the aid in dying laws of the three states Finally describing people who use aid in dying such as Brittany Maynard suicides grossly misrepresents their experience and devalues both their lives and deaths Continued usage of the biased and inaccurate term should be amended throughout Wikipedia,0,1
See also,0,1
May Please stop If you continue to delete or edit legitimate talk page comments as you did at TalkDeepwater Horizon oil spill you may be blocked for vandalism If this is a shared IP address and you didnt make the edit consider creating an account for yourself so you can avoid further irrelevant notices,0,1
BrandonYusofToropov has requested mediation over a conflict with you Ed UserBrandonYusofToropovBrandonYusofToropov has requested mediation over a conflict with you I am willing to mediate the dispute Do you accept If so please end me an email at pgunndachteorg,0,1
That is ridiculous Unless theres a good and nondisingenuous response I would absolutely agree with you blocking indef outright Falsifying sources should simply never be tolerated,0,1
aapn bhtla aanand jhala,0,1
You wrote You will need to cite reliable sources for the assertions far too large to be chemical and no endothermic storage events I do not think any source can conclusively estabish either point It is very easy to establish both points and there are hundreds of papers with proof of them The limits of chemical storage electron bonds are well understood The most energy dense chemicals such as gasoline store to eV per atom Cold fusion reactions have often produced far more than this ranging from to eV per atom of the material in the cell and in all cases there is no chemical fuel before the reaction and no chemical ash after it finishes Cell with a few grams of inert material in them have produced hundreds of megajoules of heat as much as several kilograms of gasoline if you were to burn the cell contents they would produce only a tiny fraction of the heat In fact you could burn the cell the table and all books in the room and still get that much chemical energy Therefore chemistry is ruled out Any calorimeter can measure an endothermic event as accurately as it measures an exothermic event For example all calorimeters used in these studies show the endothermic formation of PdD at the beginning of the experiment Since the calorimeters shows the exothermic excess heat they would also show the endothermic storage that proceeds it They have never done this The heat balance is always zero before the heat bursts and after Jed Rothwell HERE IS more useful information that someone keeps erasing Please note that Cal Tech Lewis et al is a false negative as pointed out by Noninski Miles and Fleischmann This is described in several papers for example this one p Also the name is Julian Schwinger with ch See Jed Rothwell Librarian LENRCANRorg,0,1
Thanks for the comment about Wikidefenderness I like that one I usually wikiling Wikidefender I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter,0,1
It might not have been your intention but your recent edit removed content from Please be careful not to remove content from Wikipedia without a valid reason which you should specify in the edit summary or on the articles talk page Take a look at our welcome page to learn more about contributing to this encyclopedia Thank you A link to the edit I have reverted can be found here link If you believe this edit should not have been reverted please contact me Suggestions,0,1
Agree but thats not the issue The queston is in everyday English does first amendent refer primarily to the US Constitution or is it ambiguous My belief remains that even fifth amendment is ambiguous and first amendment even more so,0,1
Main towns that are not so main I know that you love to write a one sentence article But if you want to do that please at least do it properly Stop saying X is a main town in Y Z What is so main about obscure towns,0,1
Halliday Good to see another contributor to his article If SFL is your thing you might consider joining the WikipediaWikiProjectLinguisticsSFLSFL taskforce Thanks,0,1
That Stephen Barrett is not Board Certified is not a viewpoint It is a fact a well documented one at that I dont see how WPPROMINENCE applies,0,1
Could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet I am only one editor here but I do feel that the material you have provided could be cut down to fit the format of this article More info could be provided in a seperate wikipedia article if necessary,0,1
Cloud feedback Why is cloud feedback only under the positive feedbacks Just about any paper states that it can be both That the IPCC states that it is more likely a positive than a negative feedback doesnt change that,0,1
Avg plenty of Greeks love the King Stop acting like all Greeks hate him You just parrot what the government tells us via their media We Greeks asked George I to be our King We supported them They reclaimed much of our lands We voted to keep them numerous times In the s by vote Also he tried to overthrow the dictators Read a book The Greek government is the biggest liars The US didnt want us to have our King and our claim to ConstantinopleAsia Minor He is a direct descendant of five Greek imperial Byzantine dynasties Monomachos Comnenos Laskaris Angelos and Paleologos,0,1
This is a REDIRECT discussion page Please do not leave article related discussion here Please go to the articles discussion page,0,1
Second issue Im thinking we need a taxonomy section there are things that arent really as clear as they maybe could be Why iswhat specific findings about the fossils places R narmadensis in the subfamily Carnotaurinae Why princely lizard of the Narmada is that significant as to the staturebehaviorpredatorial prowess of R narmadensis If there is anything more precise on its taxonomy such as that it would be great to add,0,1
Redirects ToreinTorein Torein Torein ToreinTorein ToreinTorein ToreinTorein Torein Torein ToreinTorein TrainTrain TrainTrain ToreinTorein TrainTrain ToreinTorein TrainTrain should redirect here,0,1
,0,1
Another priceless gem from yourself demonstrating your general cluelessness The fuse rating and therefore the plug rating in the case of a nonrewireable plug is determined by the cable attached not the appliance it will be used with Where on earth did you dig that nonsense up from There are plenty of good examples around but medium to large switch mode power supplies are often supplied with nominally Amp cable in a moulded on plug many with an IEC C type plug rated by that standard at Amps According to you the plug should therefore be fitted with a Amp fuse determined by the cable If you did so you would never get any but the smallest power supplies running You have to fit a Amp fuse because the very large Amp momentary inrush current lasts long enough that it will blow a Amp fuse The cable and plug can retain their original ratings because the inrush current will not harm them The rating of the fuse is determined by much much more than the cable size alone Indeed the type of power supply that is built into a plug usually has no fuse at all,0,1
This is just bizarre Ani Medjools abuse of wikipedia rules gets rewarded and then he awards you a barnstar WTF Anyhow a new person adept at ridicule has joined in the conversation at falafel Sigh,0,1
Firstly still making undiffable edits and refusing to use edit summaries is becoming a behavioural issue that will need to be escalated if it doesnt stop Gun I really dont understand why you find it so hard to follow the basic standards of behaviour required to edit in a collaborative environment Secondly announcing changes on someones talk page doesnt really count as discussing them collaboratively rather it means you discussed it with me Furthermore I told you to go to the NPOV noticeboard to raise the State University vs University issue if you wanted to discuss the issue which you a failed to do b you removed the disputed tag from the article without a result as I suggested waiting until later c you made yet another diff which contained a large number of other unknown unknowable and undisucssed changes to the article,0,1
Name in the introductory paragraph Ive always been told that using Dr PhD in the same name was incorrect as the PhD automatically conferred the status of doctor However Im not sure what to do in this case Since he is so wellknown as Dr Martin Luther King Jr the normal approach of dropping Dr and keeping PhD doesnt seem to be the best answer even though its the one most style guides seem to endorse Would someone more intimately familliar with the article like to take a swing at changing it or suggesting an alternative,0,1
Mrpainkiller Neurophyte and JeanPhilippe After a complaint at intervention against vandalism I protected the article VampireFreakscom It was either that or block all of you for disruption and personal attacks I will unprotect the article in the morning In the meantime please consider the following Reverting another users talk page is pretty rude There is a policy conflict between the user talk page policy which says users can blank or archive warnings although archiving is preferred by the community and the vandalism policy which says that removing warnings given to you is vandalism I dont agree with the vandalism point of view and I havent seen a lot of support for it lately except among people who are fighting amongst themselves for other reasons If someone deletes a warning theyve obviously seen it If you are concerned about someones edits use a verbose edit summary so that even if the warning is removed the edit summary will be visible I understand there is a view among two of you that Mrpainkillers edits are detrimental to the article There are lots of right ways to deal with this including editing by consensus Request for comment on the article or the user Mediation and third opinion Im not going to judge the content but fighting wherever it occurs is the wrong way to deal with the problem Personal attacks are not to be tolerated Please deal with the content of edits not character Im leaving this message with each of you If you keep fighting over talk pages I suppose I or another admin will eventually figure its time to block someone Unless you are positive that you are right and the other guy is wrong you should probably try and work this out peacefully in case the admins dont see things your way,0,1
hrthrtdghrsdtghtrsdhtrhdgthjrtgh fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbhjtrohibjrtlhujtyjunmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhghirtgyrehguitiryggoifhgooerygtjeiygutgopfegigfjhgrtyrhygbhruegfigustgrretugrijtrirtihviurhgnviurwtkcnguiergvknfgioerpjgklfupgrojgoirutkdhglrehgljkgyuorihfgiurwyhougyoihgwu jtgnkjrytjgoidugjgiufdteurjgetujoijfgiosdug ojtgoreuyjurfi uguj ygoipujtgeoiuypwyurtguihuigwmftmuvtnyuvgytihguihfdkjvhukrngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh,0,1
black mamba Itis ponious snake of the word and but it not kills many people but king cobra kills many people in India,0,1
Looks like this was an old issue so I took the liberty of removing it I dont see any difference between the nonspaced version and the spaced version now The spaced version just makes the intro look very strange,0,1
I just revamped WPFART I thought a little housekeeping would give it more street cred,0,1
US Im trying not to just be a whinger and a hand waver here but it annoys me that theres an entire section devoted to left vs right politics in the US yet theres nothing similar regarding the rest of the world The US bias of wikipedia is very irritating sometimes though it shouldnt be as most Internet users are in the US In other words im a whiny European who is too lazy to write a non US section From the US Thats easy to fix Start writing more about nonUS views on topics creating topics and getting your friends to help Something that is created by users being called biased only reflects the predominant users posting and thus can easily be remedied Also from the US No its NOT so easy to fix Throughout Wikipedia you will see entries from obviously American authors who have no concept of a world view and automatically write from a US perspective without any attempt to qualify their language What therefore tends to happen is that the US view becomes a default with international views living in ghettoized paragraphs Also from the US That is actually kind of the problem with Wikipedia all around in the first place and that is that popular ideas are not necessarily correct You can have people posting information about the corruptibility of whatever organization but then the organization can have its people change the entry the next day Preceding unsigned comment added by This entire dicussion lends a great deal of credibilty to the idea that the leftright spectrum poorly represents political and economic views It seems to me that most of the debate below is equivalent to attempting to define the square root of negative with only real numbers at our disposal It is painfully obvious that politics is mulidimensional The most that can be hoped for here is to describe how the leftright spectrum is used and leave it at that This should probably be a very short article Preceding unsigned comment added by Better Chart I think that this page needs a metter chart Like this one Edit I actually think that the article in fact the whole political movement needs a better definition of leftright Most political parties cannot adhere to a single category including revolutionnary movements and farright groups as described somewhere else in the discussion I suggest a new use of the leftright compass The political compass uses the square system with two axis x and y social and conomic which is not very accurate because I know my political ideas and they tend to be pretty nearer to Mussolini than to Gandhi Whatever What I suggest is a cube axis x y and z conomic Social Politic The first one defines the market system if any of a political group The second defines the social standing of a political group about the welfare of the people welfare checkscharity privatepublic schoolmedical system etc The thirds one is basically the way a society treats its people rehabilitationpunishment democracytotaliratism in which I include Soviet Communism etc What do you think Preceding unsigned comment added by Interesting book I came across this book Left and Right in Global Politics by Alain Nol and JeanPhilippe Thrien I havent read it yet but it seems to be of great interest Removing unneccessary detail I am removing several paragraphs that are unhelpful to the article Edmund Burke terms left and right not used in UK then Adam Smith terms left and r,0,1
Does JP Harris have anything to say about the Ancre,0,1
Dont feed the troll Responding with taunting is exactly the wrong way to respond Dont feed the troll Remove the post without comment or dont do anything at all,0,1
Please accept my apologies I interpreted your statement Find a quote yourself or move it I dont care to mean that you thought the source could be removed instead of finding a quote My mistake,0,1
While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and Mr Roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,0,1
I appreciate you asking RoyBoy My response may seem a lot less appreciative It violates WPV In a word it is tendentious just like the one thats been forced into the abortion article It is still a POV pushing unsourced compromise with a small group and its meat puppets Even the medical definition is abbreviated and distorted as the result of the context suggesting death is part of the medically accepted definition of abortion Heres yet another source to add to the ignored source list The Oxford Thesaurus In all the entries that contain abortion death including its variants is not listed The main entries include miscarriage monster prevention termination and veto I think the only potential solution for this now is arbitration,0,1
I just reread the sectionI have no idea why the section is labeled Views of the Faithful The section has very little to do with Mormon viewpoints and is a hodgepodge of critiques mixed with minor Mormon viewpoints It definitely needs work However I still will like for your specific ideas so that they could be incorporated GMK,0,1
Vandalism Hello Barbara It appears you have a long history of vandalism and after another incident I am afraid I have no choice but to request a permanent ban from administrators I wish you good luck for the future,0,1
All the other DAPs have similar links and no one has complained,0,1
also fwiw I nominated polyamorous people for deleting take a look and weigh in if you like,0,1
Since you have no further defence of your unsubstantiated claims of unreliability or to your oversight of precise statements in the provided citations that Israel indeed broke the ceasefire thus rendering your claim of editorialising refuted I will post a WPO,0,1
I have pictures of armed gaddafi loyalists mostly from they are all taken from facebookYT videos would they be classified as fair use,0,1
Hands off my noobs P Its not that Im particularly concerned about the loss of but did you really need to step in and hardblock there I saw the test edits I saw the username that while not violating any particular part of policy managed to be an astoundingly bad choice of username anyway I responded to these issues with the warning I felt was appropriate feeling that the user could have a second chance under a less moronic username Yes I am more patient with newbies who screw up than you are We can each have our own approach to adminship But I dont unblock and warn noobs youve just hardblocked so how about you dont hardblock noobs Ive just warned And if this was just an oversight thats fine Again it is unlikely that Wikipedia will suffer from the loss of this user,0,1
EdJohnston you are wrong I did not file the report BenHen did You also did not block the other person but only one of the several IPs they were using,0,1
Shameless Canvass Hello Diannaa Thanks for blocking that horrible puke again When I translate on your page I get mad He is just a total piece of garbage Thanks again,0,1
WHAT THE HELL Justin,0,1
Weve gone through those more than enough contemporary scholars and their sources long ago and all those sources were in reality rejected See the archives and the discussions Again per Georgians scripts you cannot have that kind of wording because this is way too much controversial and disputed issue and everything concerning the Georgian script or its origins should be based upon its main article You cannot claim A in one article and B in another So please leave out this edit warring and get aware those long discussions at the Georgian scripts article It is a very complex issue and you cannot describe it in one sentence by bombarding it with some cherry picked sources,0,1
To the individual who is so insistent to add all the future destinations take a look at WPNOTCRYSTAL While you may have reference sources to the information posted its just PURE SPECULATION and cannot be verified Nothing is firmed except London,0,1
WPSOAPBOX WPFORUM etc Please engage in your conspiratorial fantasies elsewhere,0,1
The specific page linked to is just junk in regards to our policies on sources check it for yourself,0,1
on February,0,1
The rapcore article cites sources which back up all information stated including the basics of the genre The only person who is evading anything is Ridernyc who avoids any instance in which he would be forced to admit that he is wrong,0,1
just a community post isnt DBFSS a First trimester screening a prenatal test aimed to detect diseases or conditions in a fetus or embryo,0,1
Buffoon Synonyms bozo buffo clown comedian comic fool harlequin humorist idiot jerk jester joker merryandrew mime mimic mummer playboy prankster ridicule stooge wag wit zany,0,1
Confusion upon Globus Shouldnt we mention that professor posses a huge penis And Im not joking It doesnt seem very apropriate given that it is a children series and thus I find it amusing and strange maybe its not important bit what about the once apon a time section I find it similar To be clear what am I talking about here is a picture Globus is the man on the right side I mean this seriously,0,1
Found them He has already told us that the documents concern his registration of the name El Marino As to whether these supposed documents say anything whatsoever about a newspaper published in I have no idea but they arent a thirdparty source either way They are primarysource documents confirming his personal actions,0,1
Draga apparently means Dear Google Translate Yes I am able to understand almost every Romance language at an intermediate level I never stated that I could speak Romanian Also I removed the babel list because I could not find a proper position for it as it took too much space and made my userpage long How is that any of your concern,0,1
Wikimania Hello Were chatting right now at Wikimania Pleased to meet you,0,1
Thanks for experimenting with Wikipedia Your test worked and has been reverted or removed Please use the sandbox for any other tests you want to do Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia Thanks comment moved from user page by,0,1
for all peoples living East of a certain line like the Vistula because he distinguishes them from other large ethnic groups in the same area the Fenni probably FinnoUgric and the Sarmatians themselves Taking that together with Jordanes,0,1
PS IMHO this all falls under the category created by on her talk page which she appropriately refers to as loopy talk page discussionsscoldings,0,1
REDIRECT TalkPonhook Lake,0,1
Use of Nepal Bhasa The term Nepal Bhasa is used in English officially as well as commonly Here are some examples and facts about its use Google ngram search shows that Nepal Bhasha has exceeded the use of Newar language here Government of Nepal see picture of news about the Governments stance is there in the page itself Nepal Bhasa Academy in its publications and awards Nepal Bhasa Parishad in its publications and awards World Newah Organization examples of use in page and Central Department of Nepal Bhasa Tribhuwan University the only university with curriculum in Nepal Bhasa News about scholarship in Nepal Bhasa Nepa Pasa Pucha Americaye An example see page Pasa Pucha Guthi UK An example Rising Nepal daily Example Dharmodaya Sabha the national Buddhist organization of Nepal The publications in the language are listed as Nepal Bhasa Asha Archives the biggest archive of Nepal Bhasa literature Website Journal of Lumbini Buddha Dharma Society Example Journal of Newar Studies An example Archive of English essay about Tipitaka translation project in Nepal Bhasa they have been publishing various segments of Tipitaka in Nepal Bhasa Lotus research center Activities in Nepal Bhasa EnglishNepal Bhasa dictionary in Amazon Mobile phone Nepal Bhasa dictionary app Matina international website Miss Newa Miss best Nepal Bhasa is one of the categories Official website with contestants talking about Nepal BhasaTHT news about using Nepal Bhasa Nepalmandalcom one of the very few websites in Nepal Bhasa stating their objectives regarding Nepal Bhasa Image Channel Nepal Bhasa section Thank you,0,1
If the indigenous population is so low why do they think they deserve everything,0,1
and lewd sex in China,0,1
No more April Foold edits by me in the article space I will not make any more April Fools edits in the article space Just in case you never saw it here is my April Fools edit from last year,0,1
I absolutely agree with you Something is very wrong with my English if you misunderstood me as though I said all Haredim regected Rabbi Hirschs way What I said was actually quite the oppositeIn the beginning Agudat Israel was based on the legacy of Torah im Derech Erech Afterwards the Litvaks changed it but even today there is no dichotomy between Agudat Israel and Rabbi Hirschs way,0,1
Bitch Creek Cow Camp Idaho Hey Just a heads up I looked into this one and indeed there is a place named Bitch Creek Cow Camp Wanted to let you know that the folks in Idaho need not worry,0,1
Two short stories The list of works contains something called The Mysterious Portrait Is this the same as the short story The Portrait,0,1
May,0,1
Lol and there we have it right on time As far as I remember the only person who kept raving about undue weight was yourself so I fail to see how that can be the reason for anything The third row was reverted simply because you and three others didnt like it But I see the details of a civil war are determined by numbers In fact this entire page seems to be testament to the fact that terms can be redefined to serve an agenda Israel cannot be part of the infobox because external factions need to make a certain number of attacks A war faction cant be considered separate because it has not contributed with a certain percentage of fighting Are you fucking kidding me,0,1
hello you are an TTL DUCH BG,0,1
Thanks for your response Ill nominate them today,0,1
Hello everyone Im just here to tell you that youre all freaks,0,1
To be blunt so what What does that have to do with improving the article,0,1
Agreed Moreover the recent additions place an undue emphasis on arguments in court briefs much of which will become far less salient after the Supreme Court actually decides the case in a few months,0,1
While profeminist men and profeminist writing generally constitute the dominant perspective within mens studies in the academy the shelves in the mens section of most bookstores are filled with books that come from two other perspectives namely mens rights and mythopoetic which share the basic assumption that what is wrong with mens lives derives from the traditional masculine gender role of protector provider and head of the family Kenneth Clatterbaugh Starting with Herb Goldbergs The Hazards of Being Male Surviving the Myth of Masculine Privilege there has been a steady stream of books that argue that men are not privileged relative to women The authors of these books claim either that men are just as afflicted by their gender role or that they are more afflicted by it than are women by theirs In either case mens rights defenders find a great lie at the center of feminism namely the notion that men are privileged relative to women Probably no writer has said it better than Goldberg who cites problems of traditional masculinity such as emotional repression isolation from other men fear of failure and a high suicide rate Kenneth Clatterbaugh The theme that was foundational to mens rights namely the oppressive nature of traditional masculinity has been undermined by fathers rights activists who want to pursue a set of custody rights and traditional masculinity Kenneth Clatterbaugh,0,1
Thank you for your suggestion When you feel an article needs improvement please feel free to make those changes Wikipedia is a wiki so anyone can edit almost any article by simply following the link at the top The Wikipedia community encourages you to be bold in updating pages Dont worry too much about making honest mistakes theyre likely to be found and corrected quickly If youre not sure how editing works check out how to edit a page or use the sandbox to try out your editing skills New contributors are always welcome You dont even need to log in although there are many reasons why you might want to,0,1
I am not asking that the article itself draw any conclusions and the rest of your remarks are exactly the kind of synthesis that I desire My remarks are meant to move us past the conflict on the talk page Our sources are of course the verifiable secondary sources and we are not to do original research As CTSWynekan has said Wikipedia is a tertiary source Frankly its enough for me that the various Christian views are presented fairly and accurately the various Jewish views are presented fairly and accurately the various historical views whether by specialists or nonspecialists are presented fairly and accurately and all other views are presented fairly and accurately All should be given the appropriate weight and context That is enough of a synthesis for me But we all have our subjective views and many of our views have clashed hence we have been bogged down in one paragraph for far too long What bothers me is the binary thinking evidenced by some many not all which has polarized the debate We should also of course be sure not to confuse our various subjective viewpoints with the objective actual verifiable and factual as someone once said So in the end I essentially agree with you My remarks on thesisantithesissynthesis and the rest have to do with the debate on this page not with the article itself I want us to move past conflict so we can examine the verifiable sources and put aside our own views while still making sure that we any we are accurately represented as are the views of others To paraphrase Ross Perot everybody stop fighting and get to work If youll check youll notice that Ive done very little work on the article itself most of my efforts have been focused on the talk page NPOV when we reach it will be a synthesis accurately reporting the views of all and referenced to the appropriate verifiable sourcesThat said I have been as frustrated as anyone else and needed to vent my spleen which perhaps presented my POV more strongly than I have in the past Does that make it trinary My spleen has been vented My comments will remain on my user page at least until we formulate a second paragraph that does exactly as you say and is accepted by all It may go back if we run into further unresolved conflict My claim that it is a conundrum alludes to how the issue of historicity is handled at Socrates where any debate has been much more peaceful and civilized,0,1
Please stop your disruptive editing If you continue to vandalize Wikipedia as you did at Warwick School you will be blocked from editing,0,1
so I propose merging African Bush Elephant into African Savanna Elephant,0,1
A question I dont understand how they play why they play only games when there are teams x games Portland Timbers played teams with LA Galaxy how Maybe someone can explain to me,0,1
Rob I actually like having you around for no other reason than you have a different POV from those with a Christian perspective However I also find you to be overly disruptive Yes I understand as well as everyone else your position that factual evidence does not exist Yes we understand that there are scholars that support that position No they are not the majority They are not even a significant minority They are a very small group that contends Jesus did not exist You have registered your POV and we are aware of it I ask that you now move on and address the article as a whole and accept that your position has already been accounted for in the article When you fight so hard and become so obstinate you lose the respect of your fellow editors and your POV is shut out almost completely You have become a source of conflict and contention Please recognize that your current methods are not working Find another way to interact with your fellow editors so that your POV is at least a chance of being heard,0,1
